a) Schizophrenia		b) Bipolar Disorder	
Gene Symbol	Regulation	Gene Symbol	Regulation
BCAT1	Up-regulated	MATR3	Down-regulated
GLRX3	Up-regulated	AASDHPPT	Down-regulated
HLA-DQB1	Up-regulated	ADAMTS2	Up-regulated
MSL3	Up-regulated	ADARB1	Up-regulated
SGCD	Down-regulated	ALG13	Down-regulated
WTAP	Up-regulated	ARGLU1	Down-regulated
ZNF780B	Up-regulated	ARPP19	Down-regulated
		BCL11A	Down-regulated
		BZW1	Down-regulated
		CAPZA2	Down-regulated
		CDRT1	Up-regulated
		CHAF1A	Up-regulated
		CLASRP	Up-regulated
		COPS8	Down-regulated
		CPSF6	Down-regulated
		DARS1	Down-regulated
		EIF3A	Down-regulated
		FABP5	Down-regulated
		FUS	Up-regulated
		GAPDH	Down-regulated
		HNRNPDL	Down-regulated
		HNRNPH1	Down-regulated
		HNRNPU	Down-regulated
		HNRNPUL2	Up-regulated
		HSP90AA1	Down-regulated
		HSPB11	Down-regulated
		HTR4	Up-regulated
		IMPACT	Down-regulated
		IPO5	Down-regulated
		IPO7	Down-regulated
		KRIT1	Down-regulated
		LIPE	Up-regulated
		LRRFIP1	Up-regulated
		MEAF6	Down-regulated
		MMD	Down-regulated
		MRPS33	Down-regulated
		MT1X	Down-regulated
		MTX2	Down-regulated
		NAP1L1	Down-regulated
		NDFIP1	Down-regulated
		NECTIN1	Up-regulated
		NEK11	Up-regulated
		NTRK3	Up-regulated
		PAIP1	Down-regulated
		PNISR	Down-regulated
		PPP1R2	Down-regulated
		PSIP1	Down-regulated
		PTBP2	Down-regulated
		PTK2	Down-regulated
		PTS	Down-regulated
		PVT1	Up-regulated
		RAB35	Up-regulated
		RAB40B	Down-regulated
		RAC1	Down-regulated
		RAP2B	Down-regulated
		RASSF4	Up-regulated
		RNASET2	Down-regulated
		RPS6KB1	Down-regulated
		RPS7	Down-regulated
		SET	Down-regulated
		SFPQ	Down-regulated
		SKP1	Down-regulated
		SLC35D1	Down-regulated
		SLC6A8	Up-regulated
		SPARC	Down-regulated
		SRRM1	Down-regulated
		SSBP1	Down-regulated
		SSBP2	Down-regulated
		STAU1	Down-regulated
		STRN3	Down-regulated
		SUB1	Down-regulated
		SUMO2	Down-regulated
		TBL1XR1	Down-regulated
		TCP10L	Up-regulated
		TLK1	Down-regulated
		TMED2	Down-regulated
		TMEM106B	Down-regulated
		TMEM135	Down-regulated
		TSPYL1	Down-regulated
		UBE2D2	Down-regulated
		UBE3A	Down-regulated
		UFM1	Down-regulated
		WBP11	Down-regulated
		YWHAZ	Down-regulated
		HUWE1	Down-regulated